time,survival,group
0,100,Curve_Red
3,99,Curve_Red
6,98,Curve_Red
9,96,Curve_Red
12,93,Curve_Red
15,90,Curve_Red
18,86,Curve_Red
21,82,Curve_Red
24,76,Curve_Red
27,74,Curve_Red
30,68,Curve_Red
33,64,Curve_Red
36,59,Curve_Red
39,53,Curve_Red
42,47,Curve_Red
45,42,Curve_Red
48,39,Curve_Red
51,36,Curve_Red
54,34,Curve_Red
57,32,Curve_Red
60,30,Curve_Red
0,100,Curve_Blue
3,99,Curve_Blue
6,97,Curve_Blue
9,94,Curve_Blue
12,89,Curve_Blue
15,79,Curve_Blue
18,76,Curve_Blue
21,73,Curve_Blue
24,66,Curve_Blue
27,60,Curve_Blue
30,50,Curve_Blue
33,43,Curve_Blue
36,39,Curve_Blue
39,37,Curve_Blue
42,36,Curve_Blue
45,35,Curve_Blue
48,34,Curve_Blue
51,33,Curve_Blue
54,31,Curve_Blue
57,28,Curve_Blue
60,25,Curve_Blue
